id_transfermarkt,nombre_transfermarkt,posicion_transfermarkt,id_fbref,mejor_nombre_fbref,mejor_score
618080,tayrell wouter,Delantero,6d5628c2,robert muhren,44
900070,jordi blom,Delantero,f2bd9090,koen blommestijn,46
818445,milan zonneveld,Delantero,f2bd9090,koen blommestijn,39
301696,stijn van gassel,Portero,cdead6d3,tijmen holla,43
259932,bo geens,Portero,cdead6d3,tijmen holla,40
691973,steyn gerritsen,Portero,9b75440a,calvin raatsie,34
480730,redouan el yaakoubi,Defensa,19388cbc,serano seymor,44
510898,nikita vlasenko,Defensa,ed3a1cee,ilias bronkhorst,45
806305,noa dundas,Medio,7ed4b1dc,noah naujoks,64
618049,jonathan,Medio,7ed4b1dc,noah naujoks,50
736014,luuk admiraal,Delantero,641bf367,jerolldino armantrading,33
618483,modeste duku,Delantero,a2a56c85,lance duijvestijn,41
477274,nikolas agrafiotis,Delantero,d1e43b15,nesto groen,41
476647,hugo botermans,Delantero,7e47a132,zach booth,42
808646,raphael eyongo,Delantero,5e398b32,richie omorowa,43
793097,kay rademaker,Portero,61a623ef,jonas wendlinger,34
566934,jens guiting,Defensa,5d6dde63,jaden pinas,35
586428,jordy rullens,Defensa,20b2b5b4,jay kuiper,43
582132,niciano grootfaam,Defensa,7016332f,ricardo visus,33
706896,marcelencio esajas,Medio,e43e11a0,anas tahiri,48
865293,layee kromah,Delantero,9453d2f4,baptiste guillaume,33
587666,tijmen wildeboer,Delantero,03b22796,junior kadile,41
738493,omar mekkaoui,Defensa,dd788526,martin koscelnik,48
111185,ruben ligeon,Defensa,1f9a3a04,terence kongolo,44
656449,welat cagro,Medio,dece7370,matt garbett,43
865682,ezechiel banzuzi,Medio,6e05b753,raul paula,31
671834,martijn brandt,Medio,dd3c8b64,max balard,50
591368,quincy tavares,Delantero,32237c0c,elias mar omarsson,38
697898,vieiri kotzebue,Delantero,d0553d2f,roy kuijpers,37
96472,ralf seuntjens,Delantero,4c53a688,leo sauer,43
596150,ayouba kosiah,Delantero,6e05b753,raul paula,43
258267,adam jakubech,Portero,5ee6e943,marc-aurele caillard,30
707245,jules raux,Portero,5ee6e943,marc-aurele caillard,40
503740,kouadio-yves dabila,Defensa,fbd6378b,aissa mandi,47
798894,maxime wackers,Defensa,0ff630d0,akim zedadka,46
923831,leny yoro,Defensa,102c9665,alexsandro ribeiro,44
707231,simon ramet,Defensa,af8e48b6,vincent burlet,48
707230,ugo raghouber,Medio,645a3363,angel gomes,50
538972,exauce mpembele boula,Medio,01870104,mohamed lamine bayo,45
666545,capita,Delantero,ce50fd99,jonathan david,40
854488,joffrey bazie,Delantero,148e136f,remy cabella,48
745202,yllan okou,Defensa,6620c21a,kassoum ouattara,38
536503,fouad el maach,Defensa,6620c21a,kassoum ouattara,40
536510,louis torres,Defensa,a0415710,ismail jakobs,40
745201,aurelien platret,Defensa,30af8b93,caio henrique oliveira silva,41
99189,pele,Medio,37143438,edan diop,31
538968,florian baranik,Medio,19c2ffa4,lamine camara,50
659518,felix lemarechal,Medio,15944afd,eliot matazo,50
494237,wilson isidor,Delantero,3708e9fa,aleksandr golovin,47
543503,eric ayiah,Delantero,b625b241,maghnes akliouche,37
618465,kayne bonnevie,Portero,f00de885,anthony lopes,30
743519,hugo vogel,Defensa,c385bf49,sael kumbedi,36
802987,irvyn lomami,Defensa,55abe554,clinton mata,42
729677,noam bonnet,Medio,234a703c,ernest nuamah,58
708265,bradley barcola,Delantero,fb14aa28,mama samba balde,45
729680,madyan sounni,Delantero,5a04fd92,said benrahma,38
744942,gael nsombi,Delantero,a452d263,enzo molebe,45
576033,dogan alemdar,Portero,1d2d5cc8,steve mandanda,37
919515,jeanuel belocian,Defensa,cea59f02,alidu seidu,37
