club_code,club_name,season,division,league_position,puntos,partidos_jugados,goles_favor,goles_contra,valor_plantel,mean_plantel,nationality
9636,Seattle Sounders FC,2022,,,,,,,36950000.0,1230000.0,Estados Unidos
1082,LOSC Lille,2022,Primera categoría,5.0,67.0,38.0,65.0,44.0,247950000.0,7510000.0,Francia
244,Olympique de Marsella,2020,Primera categoría,5.0,60.0,38.0,54.0,47.0,247950000.0,6700000.0,Francia
415,Toulouse FC,2020,Segunda categoría,3.0,70.0,38.0,71.0,42.0,58830000.0,1370000.0,Francia
9371,Toulouse FC B,2020,Quinta categoría,10.0,6.0,5.0,13.0,10.0,7780000.0,278000.0,Francia
41310,FC Telavi,2023,Primera categoría,8.0,37.0,36.0,34.0,62.0,8130000.000000001,145000.0,Georgia
2441,AEK Atenas FC,2020,Primera categoría,3.0,48.0,26.0,41.0,29.0,40150000.0,1120000.0,Grecia
265,Panathinaikos FC,2020,Primera categoría,5.0,45.0,26.0,30.0,19.0,28600000.0,773000.0,Grecia
265,Panathinaikos FC,2023,Primera categoría,4.0,56.0,26.0,62.0,21.0,73180000.0,1830000.0,Grecia
2671,PAS Giannina,2021,Primera categoría,6.0,40.0,26.0,28.0,24.0,10450000.0,360000.0,Grecia
2671,PAS Giannina,2023,Primera categoría,14.0,18.0,26.0,25.0,48.0,9530000.0,257000.0,Grecia
2672,APO Levadiakos,2021,Segunda categoría,1.0,72.0,32.0,68.0,19.0,7330000.0,253000.0,Grecia
2672,APO Levadiakos,2022,Primera categoría,13.0,17.0,26.0,14.0,38.0,11680000.0,299000.0,Grecia
3060,Atromitos FC,2020,Primera categoría,10.0,28.0,26.0,24.0,35.0,12150000.0,368000.0,Grecia
4603,AE Larisa,2022,Segunda categoría,2.0,58.0,28.0,50.0,19.0,5300000.0,171000.0,Grecia
4603,AE Larisa,2023,Segunda categoría,2.0,17.0,8.0,11.0,6.0,5930000.0,156000.0,Grecia
60949,Volos NPS,2020,Primera categoría,7.0,33.0,26.0,26.0,32.0,10850000.0,339000.0,Grecia
60949,Volos NPS,2022,Primera categoría,6.0,39.0,26.0,31.0,38.0,16649999.999999998,438000.0,Grecia
60949,Volos NPS,2023,Primera categoría,13.0,19.0,26.0,24.0,52.0,13900000.0,376000.0,Grecia
6418,Panetolikos GFS,2020,Primera categoría,12.0,20.0,26.0,13.0,32.0,9780000.0,279000.0,Grecia
6418,Panetolikos GFS,2021,Primera categoría,9.0,32.0,26.0,27.0,39.0,10250000.0,320000.0,Grecia
6418,Panetolikos GFS,2023,Primera categoría,12.0,20.0,26.0,26.0,46.0,13630000.0,413000.0,Grecia
6676,Asteras Tripolis,2020,Primera categoría,6.0,42.0,26.0,27.0,25.0,10450000.0,317000.0,Grecia
683,Olympiacos El Pireo,2020,Primera categoría,1.0,67.0,26.0,64.0,13.0,113700000.0,2640000.0,Grecia
683,Olympiacos El Pireo,2022,Primera categoría,3.0,56.0,26.0,53.0,14.0,136730000.0,2630000.0,Grecia
683,Olympiacos El Pireo,2023,Primera categoría,3.0,57.0,26.0,58.0,24.0,133700000.0,2910000.0,Grecia
9,PS Kalamata,2023,Segunda categoría,2.0,15.0,7.0,17.0,7.0,6430000.0,153000.0,Grecia
91870,AEK Atenas B,2023,Segunda categoría,11.0,4.0,6.0,7.0,10.0,7300000.0,162000.0,Grecia
9708,CD Motagua Tegucigalpa,2022,Primera categoría,2.0,32.0,18.0,32.0,24.0,5330000.0,121000.0,Honduras
279,Ferencvárosi TC,2020,Primera categoría,1.0,78.0,33.0,69.0,22.0,34010000.0,773000.0,Hungría
279,Ferencvárosi TC,2022,Primera categoría,1.0,63.0,33.0,62.0,33.0,50960000.0,1040000.0,Hungría
45274,Mumbai City FC,2021,Primera categoría,5.0,31.0,20.0,36.0,31.0,5230000.0,163000.0,India
45277,Kerala Blasters FC,2021,Primera categoría,4.0,34.0,20.0,34.0,24.0,5280000.0,151000.0,India
1010,Watford FC,2022,Segunda categoría,11.0,63.0,46.0,56.0,53.0,155400000.0,3110000.0,Inglaterra
11,Arsenal,2021,Primera categoría,5.0,69.0,38.0,61.0,48.0,613050000.0,14950000.0,Inglaterra
11,Arsenal,2022,Primera categoría,2.0,84.0,38.0,88.0,43.0,1000000000.0,23830000.0,Inglaterra
11,Arsenal,2023,Primera categoría,2.0,89.0,38.0,91.0,29.0,1200000000.0,30080000.0,Inglaterra
1237,Brighton & Hove Albion,2021,Primera categoría,9.0,51.0,38.0,42.0,44.0,318000000.0,7400000.0,Inglaterra
1237,Brighton & Hove Albion,2022,Primera categoría,6.0,62.0,38.0,72.0,53.0,529800000.0,12610000.0,Inglaterra
148,Tottenham Hotspur,2022,Primera categoría,8.0,60.0,38.0,70.0,63.0,649100000.0,19090000.0,Inglaterra
180,Southampton FC,2021,Primera categoría,15.0,40.0,38.0,43.0,67.0,274300000.0,8310000.000000001,Inglaterra
281,Manchester City,2020,Primera categoría,1.0,86.0,38.0,83.0,32.0,1040000000.0,29010000.0,Inglaterra
281,Manchester City,2021,Primera categoría,1.0,93.0,38.0,99.0,26.0,1000000000.0,25740000.0,Inglaterra
281,Manchester City,2022,Primera categoría,1.0,89.0,38.0,94.0,33.0,1150000000.0,33700000.0,Inglaterra
29,Everton FC,2021,Primera categoría,16.0,39.0,38.0,43.0,66.0,479050000.0,11410000.0,Inglaterra
29,Everton FC,2022,Primera categoría,17.0,36.0,38.0,34.0,57.0,413150000.0,10330000.0,Inglaterra
379,West Ham United,2022,Primera categoría,14.0,40.0,38.0,42.0,55.0,465750000.0,10590000.0,Inglaterra
631,Chelsea FC,2023,Primera categoría,6.0,63.0,38.0,77.0,63.0,1010000000.0,18120000.0,Inglaterra
641,Middlesbrough FC,2020,Segunda categoría,10.0,64.0,46.0,55.0,53.0,59050000.0,1440000.0,Inglaterra
703,Nottingham Forest,2023,Primera categoría,17.0,32.0,38.0,49.0,67.0,501350000.0,10900000.0,Inglaterra
9265,Manchester City U23,2020,,,,,,,19000000.0,404000.0,Inglaterra
6076,Foolad FC,2022,Primera categoría,7.0,40.0,30.0,27.0,26.0,10030000.0,264000.0,Irán
2976,Hapoel Beer Sheva,2020,Primera categoría,5.0,37.0,26.0,31.0,29.0,12780000.0,328000.0,Israel
3785,Maccabi Petah Tikva,2020,Primera categoría,6.0,37.0,26.0,24.0,23.0,10900000.0,321000.0,Israel
1025,Bolonia,2022,Primera categoría,9.0,54.0,38.0,53.0,49.0,153630000.0,4040000.0,Italia
1025,Bolonia,2023,Primera categoría,5.0,68.0,38.0,54.0,32.0,349300000.0,9440000.0,Italia
1038,UC Sampdoria,2022,Primera categoría,20.0,19.0,38.0,24.0,71.0,82960000.0,1730000.0,Italia
130,Parma,2020,Primera categoría,20.0,20.0,38.0,39.0,83.0,128700000.0,2430000.0,Italia
1390,Cagliari,2020,Primera categoría,16.0,37.0,38.0,43.0,59.0,187830000.0,4470000.0,Italia
1390,Cagliari,2021,Primera categoría,18.0,30.0,38.0,34.0,68.0,134530000.0,2920000.0,Italia
20519,Virtus Entella,2022,Tercera categoría,3.0,79.0,38.0,60.0,31.0,7130000.0,178000.0,Italia
2239,US Cremonese,2022,Primera categoría,19.0,27.0,38.0,36.0,69.0,83780000.0,1990000.0,Italia
2331,US Avellino 1912,2022,Tercera categoría,14.0,43.0,38.0,42.0,49.0,6700000.0,146000.0,Italia
252,Génova,2020,Primera categoría,11.0,42.0,38.0,47.0,58.0,111930000.0,2540000.0,Italia
252,Génova,2022,Segunda categoría,2.0,73.0,38.0,53.0,28.0,67980000.0,1480000.0,Italia
276,Hellas Verona,2022,Primera categoría,18.0,31.0,38.0,31.0,59.0,123890000.0,2690000.0,Italia
2921,Delfino Pescara 1936,2021,Tercera categoría,5.0,65.0,38.0,56.0,41.0,7930000.0,193000.0,Italia
3522,Spezia,2022,Primera categoría,17.0,31.0,38.0,31.0,62.0,115810000.0,2410000.0,Italia
380,US Salernitana 1919,2023,Primera categoría,20.0,17.0,38.0,32.0,81.0,94600000.0,1890000.0,Italia
4031,Cosenza Calcio,2021,Segunda categoría,16.0,35.0,38.0,36.0,59.0,18030000.0,368000.0,Italia
4031,Cosenza Calcio,2023,Segunda categoría,9.0,47.0,38.0,47.0,42.0,20850000.0,596000.0,Italia
